,prices,CRIM,ZN,INDUS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT,CHAS_0.0,CHAS_1.0
0,24.0,0.00632,18.0,2.31,0.5379999999999999,6.575,65.2,4.09,1.0,296.0,15.3,396.9,4.98,1.0,0.0
1,21.6,0.02731,0.0,7.07,0.469,6.421,78.9,4.9671,2.0,242.0,17.8,396.9,9.14,1.0,0.0
2,34.7,0.02729,0.0,7.07,0.469,7.185,61.1,4.9671,2.0,242.0,17.8,392.83,4.03,1.0,0.0
3,33.4,0.032369999999999996,0.0,2.18,0.45799999999999996,6.997999999999999,45.8,6.0622,3.0,222.0,18.7,394.63,2.94,1.0,0.0
4,36.2,0.06905,0.0,2.18,0.45799999999999996,7.147,54.2,6.0622,3.0,222.0,18.7,396.9,5.33,1.0,0.0
5,28.7,0.02985,0.0,2.18,0.45799999999999996,6.43,58.7,6.0622,3.0,222.0,18.7,394.12,5.21,1.0,0.0
6,22.9,0.08829,12.5,7.87,0.524,6.0120000000000005,66.6,5.5605,5.0,311.0,15.2,395.6,12.43,1.0,0.0
7,27.1,0.14455,12.5,7.87,0.524,6.172000000000001,96.1,5.9505,5.0,311.0,15.2,396.9,19.15,1.0,0.0
8,16.5,0.21124,12.5,7.87,0.524,5.631,100.0,6.0821,5.0,311.0,15.2,386.63,29.93,1.0,0.0
9,18.9,0.17004,12.5,7.87,0.524,6.004,85.9,6.5921,5.0,311.0,15.2,386.71,17.1,1.0,0.0
10,15.0,0.22489,12.5,7.87,0.524,6.377000000000001,94.3,6.3467,5.0,311.0,15.2,392.52,20.45,1.0,0.0
11,18.9,0.11747,12.5,7.87,0.524,6.0089999999999995,82.9,6.2267,5.0,311.0,15.2,396.9,13.27,1.0,0.0
12,21.7,0.09378,12.5,7.87,0.524,5.888999999999999,39.0,5.4509,5.0,311.0,15.2,390.5,15.71,1.0,0.0
13,20.4,0.62976,0.0,8.14,0.5379999999999999,5.949,61.8,4.7075,4.0,307.0,21.0,396.9,8.26,1.0,0.0
14,18.2,0.6379600000000001,0.0,8.14,0.5379999999999999,6.096,84.5,4.4619,4.0,307.0,21.0,380.02,10.26,1.0,0.0
15,19.9,0.62739,0.0,8.14,0.5379999999999999,5.834,56.5,4.4986,4.0,307.0,21.0,395.62,8.47,1.0,0.0
16,23.1,1.05393,0.0,8.14,0.5379999999999999,5.935,29.3,4.4986,4.0,307.0,21.0,386.85,6.58,1.0,0.0
17,17.5,0.7842,0.0,8.14,0.5379999999999999,5.99,81.7,4.2579,4.0,307.0,21.0,386.75,14.67,1.0,0.0
18,20.2,0.80271,0.0,8.14,0.5379999999999999,5.456,36.6,3.7965,4.0,307.0,21.0,288.99,11.69,1.0,0.0
19,18.2,0.7258,0.0,8.14,0.5379999999999999,5.727,69.5,3.7965,4.0,307.0,21.0,390.95,11.28,1.0,0.0
20,13.6,1.25179,0.0,8.14,0.5379999999999999,5.57,98.1,3.7979,4.0,307.0,21.0,376.57,21.02,1.0,0.0
21,19.6,0.8520399999999999,0.0,8.14,0.5379999999999999,5.965,89.2,4.0123,4.0,307.0,21.0,392.53,13.83,1.0,0.0
22,15.2,1.2324700000000002,0.0,8.14,0.5379999999999999,6.142,91.7,3.9769,4.0,307.0,21.0,396.9,18.72,1.0,0.0
23,14.5,0.9884299999999999,0.0,8.14,0.5379999999999999,5.813,100.0,4.0952,4.0,307.0,21.0,394.54,19.88,1.0,0.0
24,15.6,0.75026,0.0,8.14,0.5379999999999999,5.9239999999999995,94.1,4.3996,4.0,307.0,21.0,394.33,16.3,1.0,0.0
25,13.9,0.84054,0.0,8.14,0.5379999999999999,5.599,85.7,4.4546,4.0,307.0,21.0,303.42,16.51,1.0,0.0
26,16.6,0.67191,0.0,8.14,0.5379999999999999,5.813,90.3,4.6819999999999995,4.0,307.0,21.0,376.88,14.81,1.0,0.0
27,14.8,0.9557700000000001,0.0,8.14,0.5379999999999999,6.047000000000001,88.8,4.4534,4.0,307.0,21.0,306.38,17.28,1.0,0.0
28,18.4,0.77299,0.0,8.14,0.5379999999999999,6.495,94.4,4.4547,4.0,307.0,21.0,387.94,12.8,1.0,0.0
29,21.0,1.00245,0.0,8.14,0.5379999999999999,6.6739999999999995,87.3,4.239,4.0,307.0,21.0,380.23,11.98,1.0,0.0
30,12.7,1.13081,0.0,8.14,0.5379999999999999,5.712999999999999,94.1,4.2330000000000005,4.0,307.0,21.0,360.17,22.6,1.0,0.0
31,14.5,1.3547200000000001,0.0,8.14,0.5379999999999999,6.072,100.0,4.175,4.0,307.0,21.0,376.73,13.04,1.0,0.0
32,13.2,1.38799,0.0,8.14,0.5379999999999999,5.95,82.0,3.99,4.0,307.0,21.0,232.6,27.71,1.0,0.0
33,13.1,1.15172,0.0,8.14,0.5379999999999999,5.7010000000000005,95.0,3.7872,4.0,307.0,21.0,358.77,18.35,1.0,0.0
34,13.5,1.6128200000000001,0.0,8.14,0.5379999999999999,6.096,96.9,3.7598,4.0,307.0,21.0,248.31,20.34,1.0,0.0
35,18.9,0.06417,0.0,5.96,0.499,5.933,68.2,3.3603,5.0,279.0,19.2,396.9,9.68,1.0,0.0
36,20.0,0.09744,0.0,5.96,0.499,5.841,61.4,3.3779,5.0,279.0,19.2,377.56,11.41,1.0,0.0
37,21.0,0.08014,0.0,5.96,0.499,5.85,41.5,3.9342,5.0,279.0,19.2,396.9,8.77,1.0,0.0
38,24.7,0.17505,0.0,5.96,0.499,5.966,30.2,3.8473,5.0,279.0,19.2,393.43,10.13,1.0,0.0
39,30.8,0.027630000000000002,75.0,2.95,0.428,6.595,21.8,5.4011,3.0,252.0,18.3,395.63,4.32,1.0,0.0
40,34.9,0.033589999999999995,75.0,2.95,0.428,7.024,15.8,5.4011,3.0,252.0,18.3,395.62,1.98,1.0,0.0
41,26.6,0.12744,0.0,6.91,0.44799999999999995,6.77,2.9,5.7209,3.0,233.0,17.9,385.41,4.84,1.0,0.0
42,25.3,0.1415,0.0,6.91,0.44799999999999995,6.169,6.6,5.7209,3.0,233.0,17.9,383.37,5.81,1.0,0.0
43,24.7,0.15936,0.0,6.91,0.44799999999999995,6.211,6.5,5.7209,3.0,233.0,17.9,394.46,7.44,1.0,0.0
